Crop Name,Scientific name,Seed Code,soil_type,irrigation_source,fertilizer_used,seed_type,weather_condition,ownership_type,loan_taken,insurance_status,pesticide_usage,last_sowing_date,expected_harvest_date
Maize,Zea mays,M7097,Loamy,River,Organic,Certified,Normal,Sharecropped,No,Enrolled,None,2025-03-22,2025-09-11
Jowar,Sorghum bicolor,J5780,Laterite,Drip,Urea,Certified,Flood,Sharecropped,Yes,Not Enrolled,None,2025-03-06,2025-08-25
Jowar,Sorghum bicolor,J2998,Laterite,Sprinkler,Urea,Hybrid,Flood,Owned,No,Not Enrolled,None,2024-11-26,2025-05-23
Millet,Various,M3969,Arid,None,Potash,Local,Flood,Owned,Yes,Not Enrolled,Low,2024-09-27,2025-01-10
Soybean,Glycine max,S3240,Alluvial,River,Urea,F1 Hybrid,Flood,Owned,Yes,Enrolled,Medium,2024-11-15,2025-04-27
Jowar,Sorghum bicolor,J9169,Saline,River,NPK,Local,Drought,Owned,No,Enrolled,Low,2024-07-12,2024-11-23
Soybean,Glycine max,S6813,Saline,Sprinkler,Organic,Local,Heatwave,Owned,Yes,Enrolled,High,2024-09-27,2025-01-06
Tur,Cajanus cajan,T5131,Clayey,Canal,Compost,F1 Hybrid,Dry Spell,Owned,No,Enrolled,High,2024-10-10,2025-02-26
Sugarcane,Saccharum officinarum,S2470,Alluvial,Rainfed,DAP,Hybrid,Excess Rain,Owned,Yes,Not Enrolled,Medium,2025-01-31,2025-06-13
Soybean,Glycine max,S9457,Loamy,Canal,Potash,Hybrid,Dry Spell,Leased,No,Enrolled,None,2024-11-16,2025-04-07
Millet,Various,M9856,Laterite,None,Potash,Hybrid,Heatwave,Leased,No,Enrolled,Medium,2024-11-25,2025-03-01
Jowar,Sorghum bicolor,J9809,Loamy,Canal,Urea,Hybrid,Normal,Owned,Yes,Enrolled,None,2025-03-05,2025-08-22
Potato,Solanum tuberosum,P6764,Black,River,Potash,Certified,Dry Spell,Owned,No,Enrolled,Low,2025-02-25,2025-07-19
Soybean,Glycine max,S1331,Red,Drip,Compost,Local,Normal,Sharecropped,Yes,Not Enrolled,Medium,2024-09-15,2024-12-28
Cotton,Gossypium hirsutum,C5143,Arid,Sprinkler,Vermicompost,Hybrid,Flood,Owned,No,Enrolled,Medium,2024-07-23,2025-01-07
Wheat,Triticum aestivum,W9342,Saline,Drip,Urea,Hybrid,Excess Rain,Leased,No,Enrolled,High,2024-11-13,2025-04-28
Onion,Allium cepa,O2676,Saline,Canal,DAP,Certified,Heatwave,Leased,Yes,Not Enrolled,None,2024-06-29,2024-11-11
Bajra,Pennisetum glaucum,B7576,Clayey,Canal,Potash,Local,Flood,Leased,No,Enrolled,Medium,2025-02-09,2025-05-15
Maize,Zea mays,M6352,Saline,Rainfed,Compost,Hybrid,Drought,Leased,Yes,Enrolled,High,2024-08-08,2024-11-10
Soybean,Glycine max,S8543,Red,Tube Well,NPK,Local,Heatwave,Leased,Yes,Not Enrolled,None,2024-09-06,2025-02-03
Soybean,Glycine max,S7229,Red,Canal,Compost,Hybrid,Normal,Leased,Yes,Not Enrolled,None,2024-10-29,2025-02-23
Millet,Various,M8488,Alluvial,Drip,Organic,Hybrid,Dry Spell,Sharecropped,No,Not Enrolled,Low,2025-03-13,2025-08-17
Groundnut,Arachis hypogaea,G1257,Clayey,Sprinkler,Vermicompost,F1 Hybrid,Flood,Owned,No,Not Enrolled,Low,2024-12-07,2025-04-25
Millet,Various,M6444,Black,Tube Well,Organic,F1 Hybrid,Dry Spell,Sharecropped,Yes,Enrolled,Medium,2024-11-14,2025-03-08
Onion,Allium cepa,O7952,Clayey,Drip,Potash,Local,Drought,Leased,No,Not Enrolled,Medium,2025-02-17,2025-05-22
Gram,Cicer arietinum,G4263,Laterite,Sprinkler,NPK,F1 Hybrid,Excess Rain,Sharecropped,Yes,Enrolled,Medium,2024-11-24,2025-03-15
Jowar,Sorghum bicolor,J6687,Loamy,Sprinkler,Urea,Certified,Flood,Leased,No,Not Enrolled,Low,2025-01-18,2025-07-01
Tur,Cajanus cajan,T3478,Saline,Sprinkler,Vermicompost,F1 Hybrid,Dry Spell,Sharecropped,Yes,Enrolled,Low,2024-11-22,2025-04-01
Millet,Various,M9724,Red,None,Potash,Certified,Flood,Leased,No,Not Enrolled,Medium,2024-09-20,2025-03-16
Potato,Solanum tuberosum,P5765,Clayey,Canal,Vermicompost,F1 Hybrid,Normal,Owned,No,Not Enrolled,High,2024-07-06,2024-10-10
Rice,Oryza sativa,R7384,Saline,River,DAP,F1 Hybrid,Dry Spell,Sharecropped,No,Enrolled,Low,2024-09-21,2025-02-02
Groundnut,Arachis hypogaea,G3592,Alluvial,Canal,Potash,Certified,Normal,Sharecropped,No,Enrolled,None,2025-02-13,2025-08-02
Groundnut,Arachis hypogaea,G4229,Clayey,Drip,Compost,Local,Normal,Owned,Yes,Not Enrolled,Low,2024-06-07,2024-09-11
Jowar,Sorghum bicolor,J1366,Red,Drip,DAP,Local,Flood,Sharecropped,Yes,Not Enrolled,Low,2024-08-22,2024-12-11
Gram,Cicer arietinum,G1010,Black,Sprinkler,Urea,Local,Drought,Owned,No,Not Enrolled,None,2024-09-29,2025-01-02
Millet,Various,M8040,Saline,Tube Well,Potash,Local,Dry Spell,Leased,Yes,Enrolled,High,2024-07-18,2025-01-08
Jowar,Sorghum bicolor,J3170,Black,Tube Well,Potash,F1 Hybrid,Dry Spell,Leased,No,Enrolled,High,2024-09-22,2025-02-17
Gram,Cicer arietinum,G9610,Saline,Canal,Urea,Local,Excess Rain,Owned,Yes,Enrolled,Medium,2024-08-30,2025-01-24
Potato,Solanum tuberosum,P7949,Arid,Rainfed,Potash,Certified,Excess Rain,Sharecropped,No,Not Enrolled,High,2025-02-15,2025-06-28
Sugarcane,Saccharum officinarum,S9412,Black,Sprinkler,Compost,Hybrid,Normal,Owned,Yes,Enrolled,High,2024-12-01,2025-04-28
Gram,Cicer arietinum,G7523,Laterite,Tube Well,Vermicompost,F1 Hybrid,Drought,Leased,No,Not Enrolled,High,2024-06-28,2024-11-23
Onion,Allium cepa,O6419,Black,Sprinkler,Vermicompost,Local,Dry Spell,Leased,Yes,Enrolled,High,2024-12-11,2025-05-20
Sugarcane,Saccharum officinarum,S7052,Arid,Canal,Vermicompost,Hybrid,Normal,Leased,No,Enrolled,Medium,2024-12-30,2025-06-19
Onion,Allium cepa,O3960,Saline,River,DAP,Hybrid,Normal,Owned,Yes,Enrolled,Medium,2025-03-23,2025-09-15
Onion,Allium cepa,O2518,Loamy,Tube Well,NPK,F1 Hybrid,Drought,Sharecropped,No,Not Enrolled,High,2024-12-17,2025-03-17
Rice,Oryza sativa,R3120,Black,Drip,Compost,F1 Hybrid,Flood,Sharecropped,No,Not Enrolled,None,2025-01-30,2025-05-01
Rice,Oryza sativa,R3208,Loamy,Tube Well,DAP,Hybrid,Drought,Owned,Yes,Enrolled,None,2024-11-11,2025-04-25
Groundnut,Arachis hypogaea,G4242,Alluvial,Tube Well,Organic,Local,Dry Spell,Sharecropped,Yes,Not Enrolled,None,2025-02-01,2025-05-29
Jowar,Sorghum bicolor,J2766,Alluvial,Canal,Compost,F1 Hybrid,Heatwave,Leased,Yes,Not Enrolled,Medium,2024-06-27,2024-11-10
Soybean,Glycine max,S2547,Alluvial,Sprinkler,Compost,Hybrid,Dry Spell,Leased,No,Not Enrolled,Low,2024-11-24,2025-03-15
Bajra,Pennisetum glaucum,B6065,Clayey,None,Potash,F1 Hybrid,Dry Spell,Owned,No,Not Enrolled,None,2025-03-20,2025-07-28
Gram,Cicer arietinum,G2214,Laterite,River,Organic,Hybrid,Heatwave,Owned,No,Not Enrolled,Low,2025-01-25,2025-05-14
Millet,Various,M1901,Black,Tube Well,Potash,Hybrid,Flood,Leased,Yes,Enrolled,Low,2024-08-20,2024-12-28
Potato,Solanum tuberosum,P1628,Clayey,River,Potash,F1 Hybrid,Normal,Sharecropped,Yes,Not Enrolled,Medium,2024-09-25,2024-12-26
Millet,Various,M2022,Loamy,Tube Well,Organic,Certified,Flood,Leased,No,Not Enrolled,None,2024-07-13,2024-11-26
Groundnut,Arachis hypogaea,G5019,Loamy,None,NPK,Hybrid,Dry Spell,Owned,No,Not Enrolled,High,2025-02-04,2025-06-27
Sugarcane,Saccharum officinarum,S1490,Laterite,Rainfed,Organic,Certified,Excess Rain,Owned,Yes,Enrolled,Low,2024-08-09,2025-01-08
Maize,Zea mays,M7670,Black,Rainfed,Compost,F1 Hybrid,Flood,Owned,No,Enrolled,High,2024-06-13,2024-10-01
Cotton,Gossypium hirsutum,C1699,Alluvial,Drip,Potash,Hybrid,Heatwave,Leased,No,Enrolled,Low,2024-10-28,2025-01-28
Sugarcane,Saccharum officinarum,S4374,Saline,River,Organic,Local,Heatwave,Owned,No,Enrolled,Medium,2024-09-20,2025-03-18
Tur,Cajanus cajan,T5496,Laterite,Tube Well,Vermicompost,Hybrid,Heatwave,Leased,No,Enrolled,None,2024-11-20,2025-04-12
Bajra,Pennisetum glaucum,B3771,Red,Drip,Urea,Hybrid,Flood,Leased,Yes,Not Enrolled,Low,2024-08-23,2025-01-12
Maize,Zea mays,M7848,Clayey,Sprinkler,Vermicompost,Hybrid,Flood,Sharecropped,Yes,Not Enrolled,Medium,2025-01-24,2025-05-08
Onion,Allium cepa,O9633,Loamy,Canal,Potash,Hybrid,Normal,Sharecropped,No,Not Enrolled,Medium,2024-12-29,2025-04-26
Potato,Solanum tuberosum,P5685,Saline,Tube Well,Potash,Certified,Heatwave,Owned,Yes,Enrolled,Medium,2024-11-14,2025-04-09
Gram,Cicer arietinum,G7199,Laterite,Rainfed,DAP,Hybrid,Heatwave,Owned,Yes,Enrolled,None,2025-02-23,2025-06-21
Wheat,Triticum aestivum,W3122,Clayey,Rainfed,Organic,Hybrid,Flood,Owned,No,Not Enrolled,None,2024-10-15,2025-02-21
Rice,Oryza sativa,R6318,Arid,None,NPK,Hybrid,Flood,Leased,No,Not Enrolled,None,2024-08-30,2024-11-28
Jowar,Sorghum bicolor,J1669,Red,Tube Well,Organic,Local,Flood,Sharecropped,Yes,Not Enrolled,Medium,2024-09-09,2025-01-19
Millet,Various,M2217,Red,Sprinkler,Vermicompost,F1 Hybrid,Normal,Owned,No,Enrolled,Low,2025-02-13,2025-06-23
Onion,Allium cepa,O9726,Laterite,Sprinkler,DAP,F1 Hybrid,Drought,Sharecropped,No,Enrolled,High,2024-07-17,2025-01-06
Sugarcane,Saccharum officinarum,S7566,Black,None,Urea,Local,Dry Spell,Sharecropped,Yes,Enrolled,High,2024-07-24,2025-01-10
Cotton,Gossypium hirsutum,C6148,Alluvial,Drip,Urea,Certified,Heatwave,Owned,Yes,Enrolled,High,2025-01-22,2025-07-02
Tur,Cajanus cajan,T6763,Saline,Tube Well,Urea,Certified,Drought,Sharecropped,Yes,Not Enrolled,Medium,2025-02-04,2025-06-19
Bajra,Pennisetum glaucum,B3969,Laterite,None,NPK,F1 Hybrid,Excess Rain,Leased,Yes,Enrolled,Medium,2024-10-21,2025-04-18
Groundnut,Arachis hypogaea,G4604,Red,Tube Well,DAP,Local,Flood,Sharecropped,Yes,Not Enrolled,None,2024-10-17,2025-02-20
Rice,Oryza sativa,R9829,Arid,None,Vermicompost,Certified,Flood,Leased,Yes,Enrolled,Medium,2024-09-30,2025-01-22
Bajra,Pennisetum glaucum,B7259,Loamy,Canal,Organic,Local,Heatwave,Owned,Yes,Not Enrolled,High,2024-09-25,2025-03-04
Tur,Cajanus cajan,T4731,Red,Tube Well,Organic,Hybrid,Normal,Owned,No,Not Enrolled,High,2024-10-04,2025-03-29
Cotton,Gossypium hirsutum,C9763,Loamy,Tube Well,NPK,Local,Excess Rain,Leased,Yes,Enrolled,None,2024-11-30,2025-05-03
Onion,Allium cepa,O3834,Alluvial,None,Organic,F1 Hybrid,Drought,Owned,No,Not Enrolled,Low,2025-01-02,2025-05-11
Sugarcane,Saccharum officinarum,S1291,Laterite,Canal,Compost,Certified,Drought,Owned,Yes,Enrolled,None,2024-08-17,2024-12-08
Groundnut,Arachis hypogaea,G7728,Laterite,Rainfed,Organic,Hybrid,Dry Spell,Sharecropped,No,Enrolled,None,2024-10-21,2025-01-31
Millet,Various,M9713,Loamy,None,Compost,Hybrid,Heatwave,Leased,Yes,Enrolled,Low,2024-06-09,2024-11-25
Cotton,Gossypium hirsutum,C5347,Alluvial,River,Compost,F1 Hybrid,Normal,Sharecropped,No,Not Enrolled,Medium,2024-07-05,2024-10-22
Rice,Oryza sativa,R1900,Alluvial,Canal,Urea,F1 Hybrid,Drought,Owned,Yes,Not Enrolled,High,2024-10-09,2025-02-12
Gram,Cicer arietinum,G6242,Clayey,Canal,Vermicompost,Local,Heatwave,Leased,Yes,Enrolled,None,2024-12-17,2025-03-18
Rice,Oryza sativa,R5156,Saline,Canal,NPK,F1 Hybrid,Flood,Sharecropped,No,Enrolled,Medium,2024-08-21,2024-12-16
Groundnut,Arachis hypogaea,G6544,Arid,Drip,DAP,Local,Excess Rain,Owned,Yes,Not Enrolled,Medium,2024-09-06,2025-01-15
Potato,Solanum tuberosum,P5970,Black,Sprinkler,NPK,F1 Hybrid,Drought,Sharecropped,No,Enrolled,Medium,2024-06-27,2024-11-16
Rice,Oryza sativa,R6362,Loamy,Tube Well,Vermicompost,Hybrid,Dry Spell,Leased,Yes,Enrolled,Low,2024-12-05,2025-03-21
Onion,Allium cepa,O6570,Arid,Rainfed,Compost,Certified,Drought,Owned,Yes,Not Enrolled,Medium,2024-09-30,2025-03-25
Wheat,Triticum aestivum,W5739,Clayey,Canal,Urea,Certified,Heatwave,Owned,Yes,Not Enrolled,Low,2024-09-09,2025-02-06
Gram,Cicer arietinum,G7655,Red,Tube Well,Potash,Local,Excess Rain,Leased,No,Not Enrolled,High,2024-10-11,2025-02-16
Tur,Cajanus cajan,T5955,Laterite,Canal,NPK,Hybrid,Normal,Sharecropped,No,Enrolled,High,2024-12-30,2025-05-08
Rice,Oryza sativa,R5767,Red,River,Potash,Local,Normal,Sharecropped,Yes,Not Enrolled,Low,2024-09-23,2024-12-28
Jowar,Sorghum bicolor,J5083,Laterite,Sprinkler,Compost,F1 Hybrid,Normal,Leased,Yes,Enrolled,Medium,2024-07-12,2024-12-15
Soybean,Glycine max,S5225,Laterite,None,Compost,Certified,Heatwave,Owned,No,Not Enrolled,None,2025-02-03,2025-05-19
Bajra,Pennisetum glaucum,B2605,Red,Canal,NPK,Hybrid,Drought,Owned,No,Not Enrolled,Low,2024-10-28,2025-04-20
Millet,Various,M4363,Black,Drip,Potash,Local,Drought,Owned,No,Enrolled,Medium,2025-02-19,2025-07-20
Cotton,Gossypium hirsutum,C6515,Clayey,Rainfed,NPK,F1 Hybrid,Heatwave,Leased,Yes,Not Enrolled,High,2024-11-09,2025-03-18
Bajra,Pennisetum glaucum,B5680,Arid,River,Compost,Local,Flood,Leased,Yes,Enrolled,High,2025-03-09,2025-07-24
Onion,Allium cepa,O9882,Laterite,Rainfed,Vermicompost,Hybrid,Dry Spell,Owned,No,Not Enrolled,None,2024-11-07,2025-04-06
Jowar,Sorghum bicolor,J1924,Black,None,Organic,Local,Dry Spell,Owned,No,Enrolled,Medium,2025-03-08,2025-07-31
Millet,Various,M1193,Arid,None,Organic,Hybrid,Heatwave,Owned,No,Enrolled,Low,2024-06-17,2024-11-08
Gram,Cicer arietinum,G8319,Loamy,Drip,Urea,Certified,Heatwave,Sharecropped,Yes,Enrolled,None,2024-12-11,2025-05-19
Soybean,Glycine max,S7238,Loamy,None,Potash,Hybrid,Drought,Owned,No,Enrolled,Medium,2025-02-26,2025-07-14
Maize,Zea mays,M3563,Arid,None,Vermicompost,Hybrid,Heatwave,Sharecropped,No,Not Enrolled,Low,2025-01-30,2025-06-09
Maize,Zea mays,M4749,Saline,Drip,DAP,F1 Hybrid,Dry Spell,Owned,No,Not Enrolled,Medium,2024-07-15,2024-12-30
Potato,Solanum tuberosum,P6880,Black,Tube Well,Organic,F1 Hybrid,Normal,Leased,No,Enrolled,None,2024-06-22,2024-11-30
Tur,Cajanus cajan,T1428,Alluvial,Drip,NPK,Local,Excess Rain,Sharecropped,No,Not Enrolled,Low,2024-06-26,2024-11-02
Rice,Oryza sativa,R6148,Laterite,Canal,NPK,Hybrid,Normal,Sharecropped,Yes,Not Enrolled,High,2025-03-15,2025-07-25
Wheat,Triticum aestivum,W6936,Laterite,Canal,NPK,F1 Hybrid,Heatwave,Sharecropped,Yes,Not Enrolled,Low,2024-10-12,2025-01-10
Rice,Oryza sativa,R6151,Saline,Drip,Urea,Local,Heatwave,Leased,No,Enrolled,Low,2024-07-26,2024-11-06
Soybean,Glycine max,S8181,Arid,Sprinkler,NPK,Local,Normal,Owned,Yes,Enrolled,High,2025-02-14,2025-06-26
Wheat,Triticum aestivum,W8716,Saline,Drip,Vermicompost,Local,Normal,Sharecropped,Yes,Not Enrolled,Medium,2024-08-30,2025-02-16
Maize,Zea mays,M1575,Red,Tube Well,Potash,F1 Hybrid,Normal,Leased,Yes,Enrolled,None,2025-01-12,2025-05-18
Gram,Cicer arietinum,G9663,Clayey,Sprinkler,Vermicompost,Local,Heatwave,Owned,Yes,Not Enrolled,Low,2024-07-19,2024-12-09
Jowar,Sorghum bicolor,J7717,Arid,Canal,Urea,Local,Flood,Sharecropped,Yes,Enrolled,Low,2025-03-18,2025-08-20
Groundnut,Arachis hypogaea,G3597,Alluvial,River,Urea,Hybrid,Excess Rain,Owned,No,Not Enrolled,None,2024-10-31,2025-01-29
Bajra,Pennisetum glaucum,B6623,Arid,Tube Well,DAP,Certified,Flood,Leased,No,Not Enrolled,None,2025-02-12,2025-07-12
Wheat,Triticum aestivum,W6428,Alluvial,Canal,Potash,Certified,Drought,Owned,Yes,Enrolled,Medium,2024-07-26,2024-12-28
Bajra,Pennisetum glaucum,B8782,Loamy,Rainfed,Potash,F1 Hybrid,Heatwave,Sharecropped,No,Not Enrolled,High,2024-10-28,2025-02-19
Cotton,Gossypium hirsutum,C3492,Clayey,None,DAP,F1 Hybrid,Heatwave,Owned,Yes,Not Enrolled,Medium,2024-10-15,2025-03-12
Maize,Zea mays,M8388,Laterite,Canal,NPK,Local,Normal,Leased,Yes,Not Enrolled,High,2024-08-01,2024-11-14
Rice,Oryza sativa,R5974,Laterite,Canal,Potash,Certified,Normal,Leased,Yes,Not Enrolled,Medium,2024-11-22,2025-05-09
Gram,Cicer arietinum,G3383,Alluvial,Canal,NPK,Local,Normal,Sharecropped,No,Enrolled,None,2025-01-14,2025-07-03
Rice,Oryza sativa,R5727,Arid,River,Urea,Hybrid,Dry Spell,Owned,No,Enrolled,None,2024-07-03,2024-11-03
Tur,Cajanus cajan,T7338,Saline,Sprinkler,Urea,Hybrid,Flood,Sharecropped,No,Not Enrolled,None,2024-12-06,2025-03-10
Sugarcane,Saccharum officinarum,S6114,Black,Canal,Organic,Local,Dry Spell,Sharecropped,No,Not Enrolled,Low,2024-12-29,2025-05-30
Millet,Various,M6774,Laterite,None,DAP,Local,Excess Rain,Leased,Yes,Not Enrolled,Medium,2024-08-09,2024-12-09
Potato,Solanum tuberosum,P6014,Black,Rainfed,Compost,F1 Hybrid,Heatwave,Sharecropped,Yes,Enrolled,High,2024-09-23,2025-03-19
Wheat,Triticum aestivum,W9285,Alluvial,Rainfed,Organic,F1 Hybrid,Drought,Leased,Yes,Enrolled,Medium,2024-07-06,2024-12-06
Jowar,Sorghum bicolor,J1037,Saline,Tube Well,Vermicompost,Local,Flood,Sharecropped,No,Not Enrolled,None,2024-07-11,2024-10-26
Gram,Cicer arietinum,G1688,Black,Canal,NPK,Certified,Drought,Leased,Yes,Not Enrolled,Low,2024-07-11,2024-10-13
Maize,Zea mays,M2398,Red,River,DAP,F1 Hybrid,Flood,Sharecropped,Yes,Enrolled,None,2025-01-08,2025-04-10
Groundnut,Arachis hypogaea,G9767,Red,River,Urea,Local,Drought,Leased,No,Enrolled,Low,2024-12-15,2025-03-31
Jowar,Sorghum bicolor,J3443,Loamy,Sprinkler,Urea,F1 Hybrid,Heatwave,Owned,No,Enrolled,Low,2024-06-11,2024-11-10
Potato,Solanum tuberosum,P2009,Loamy,Rainfed,Urea,Hybrid,Dry Spell,Leased,No,Enrolled,Medium,2024-09-14,2025-01-15
Groundnut,Arachis hypogaea,G9719,Laterite,Sprinkler,DAP,Certified,Excess Rain,Sharecropped,No,Enrolled,None,2024-08-16,2024-11-15
Potato,Solanum tuberosum,P2478,Red,Sprinkler,Urea,Certified,Flood,Sharecropped,No,Enrolled,None,2024-07-29,2024-11-01
Maize,Zea mays,M1089,Laterite,None,NPK,Certified,Excess Rain,Owned,No,Enrolled,High,2025-02-23,2025-07-23
Cotton,Gossypium hirsutum,C5213,Alluvial,Tube Well,DAP,Local,Normal,Leased,No,Not Enrolled,Low,2025-01-15,2025-05-15
Groundnut,Arachis hypogaea,G6746,Black,Canal,DAP,Local,Drought,Sharecropped,Yes,Enrolled,High,2024-12-29,2025-04-21
Maize,Zea mays,M4820,Saline,Rainfed,Urea,Local,Heatwave,Owned,No,Enrolled,None,2025-01-03,2025-06-03
Wheat,Triticum aestivum,W7918,Saline,Sprinkler,Vermicompost,Local,Flood,Owned,Yes,Enrolled,None,2024-10-26,2025-02-04
Millet,Various,M6979,Red,Sprinkler,Organic,Certified,Flood,Leased,Yes,Enrolled,High,2024-06-25,2024-10-22
Potato,Solanum tuberosum,P9995,Red,Canal,NPK,Hybrid,Normal,Owned,Yes,Not Enrolled,High,2024-09-01,2025-01-20
Jowar,Sorghum bicolor,J3096,Arid,Rainfed,Vermicompost,Hybrid,Excess Rain,Owned,No,Not Enrolled,Low,2024-09-09,2025-01-13
Rice,Oryza sativa,R9334,Red,Tube Well,Compost,Local,Normal,Sharecropped,Yes,Not Enrolled,High,2025-01-20,2025-07-12
Maize,Zea mays,M1068,Red,None,Urea,Hybrid,Heatwave,Owned,Yes,Enrolled,High,2024-12-14,2025-04-17
Maize,Zea mays,M5565,Alluvial,Drip,Vermicompost,Hybrid,Heatwave,Owned,Yes,Enrolled,Medium,2024-07-29,2024-11-16
Tur,Cajanus cajan,T4047,Arid,Drip,Potash,Hybrid,Flood,Sharecropped,Yes,Not Enrolled,High,2024-09-22,2025-02-02
Soybean,Glycine max,S6380,Clayey,River,Vermicompost,F1 Hybrid,Dry Spell,Owned,Yes,Enrolled,Low,2024-11-09,2025-03-25
Tur,Cajanus cajan,T6598,Black,River,Organic,F1 Hybrid,Dry Spell,Owned,Yes,Enrolled,Low,2025-01-09,2025-05-03
Gram,Cicer arietinum,G2310,Loamy,Drip,DAP,Certified,Excess Rain,Leased,No,Enrolled,Low,2024-06-25,2024-11-07
Cotton,Gossypium hirsutum,C1117,Black,Canal,Vermicompost,F1 Hybrid,Heatwave,Sharecropped,Yes,Enrolled,None,2024-08-29,2025-01-02
Onion,Allium cepa,O2359,Black,Drip,Urea,Certified,Drought,Sharecropped,Yes,Not Enrolled,Medium,2024-07-15,2025-01-05
Maize,Zea mays,M5616,Alluvial,Sprinkler,Compost,Hybrid,Excess Rain,Sharecropped,Yes,Not Enrolled,Low,2024-11-10,2025-04-21
Sugarcane,Saccharum officinarum,S2419,Saline,Sprinkler,Urea,Hybrid,Drought,Leased,No,Not Enrolled,Low,2025-01-04,2025-05-31
Tur,Cajanus cajan,T2879,Loamy,Canal,NPK,F1 Hybrid,Flood,Sharecropped,Yes,Enrolled,Medium,2024-10-13,2025-02-19
Bajra,Pennisetum glaucum,B6710,Clayey,Drip,Compost,F1 Hybrid,Dry Spell,Leased,Yes,Enrolled,Low,2024-06-24,2024-10-19
Wheat,Triticum aestivum,W6219,Alluvial,None,Potash,F1 Hybrid,Normal,Leased,No,Enrolled,None,2025-02-03,2025-07-27
Tur,Cajanus cajan,T7156,Saline,Drip,Vermicompost,Certified,Normal,Leased,No,Not Enrolled,High,2025-01-15,2025-05-02
Groundnut,Arachis hypogaea,G9034,Alluvial,Rainfed,Vermicompost,Certified,Flood,Sharecropped,No,Enrolled,High,2025-01-02,2025-04-18
Rice,Oryza sativa,R3618,Clayey,Tube Well,NPK,Local,Flood,Sharecropped,Yes,Enrolled,None,2025-01-27,2025-07-25
Millet,Various,M8819,Loamy,Tube Well,Potash,Certified,Drought,Sharecropped,Yes,Enrolled,High,2024-09-19,2025-02-02
Cotton,Gossypium hirsutum,C1291,Arid,Tube Well,Vermicompost,Hybrid,Normal,Sharecropped,Yes,Not Enrolled,Low,2024-07-01,2024-11-24
Sugarcane,Saccharum officinarum,S8449,Clayey,Tube Well,Urea,Local,Dry Spell,Leased,Yes,Not Enrolled,Low,2024-06-22,2024-11-11
Rice,Oryza sativa,R3600,Alluvial,Rainfed,DAP,F1 Hybrid,Excess Rain,Owned,Yes,Enrolled,High,2025-01-30,2025-06-18
Sugarcane,Saccharum officinarum,S3311,Red,River,Organic,Certified,Heatwave,Owned,No,Enrolled,None,2024-12-11,2025-04-23
Potato,Solanum tuberosum,P5015,Red,River,DAP,Hybrid,Heatwave,Leased,No,Enrolled,Low,2024-12-05,2025-04-12
Rice,Oryza sativa,R8385,Laterite,Canal,Organic,Hybrid,Heatwave,Sharecropped,Yes,Not Enrolled,Medium,2024-08-09,2025-01-20
Millet,Various,M7675,Loamy,Tube Well,DAP,F1 Hybrid,Heatwave,Owned,Yes,Enrolled,Low,2024-12-16,2025-04-19
Potato,Solanum tuberosum,P5286,Alluvial,Tube Well,DAP,Hybrid,Excess Rain,Sharecropped,No,Not Enrolled,None,2025-02-24,2025-06-23
Cotton,Gossypium hirsutum,C5274,Loamy,Rainfed,Vermicompost,Certified,Heatwave,Leased,No,Not Enrolled,Medium,2025-02-01,2025-05-19
Millet,Various,M9798,Red,None,Organic,Hybrid,Heatwave,Owned,No,Not Enrolled,Medium,2024-06-25,2024-12-17
Wheat,Triticum aestivum,W9832,Loamy,Tube Well,Organic,Local,Normal,Leased,Yes,Not Enrolled,Low,2024-10-30,2025-03-17
Millet,Various,M4345,Laterite,Drip,Vermicompost,Certified,Normal,Leased,No,Not Enrolled,Low,2025-01-06,2025-04-20
Gram,Cicer arietinum,G2886,Red,Drip,Organic,Hybrid,Heatwave,Sharecropped,Yes,Enrolled,Low,2024-12-30,2025-04-09
Soybean,Glycine max,S8348,Laterite,River,Vermicompost,Certified,Dry Spell,Owned,No,Enrolled,Medium,2024-11-14,2025-03-25
Tur,Cajanus cajan,T5073,Saline,Rainfed,Potash,Hybrid,Flood,Leased,Yes,Enrolled,Medium,2024-12-24,2025-04-14
Groundnut,Arachis hypogaea,G7749,Clayey,None,Compost,Local,Excess Rain,Sharecropped,No,Not Enrolled,Low,2024-10-20,2025-04-06
Onion,Allium cepa,O5825,Laterite,River,Vermicompost,Hybrid,Heatwave,Leased,No,Not Enrolled,Medium,2024-08-16,2024-12-28
Soybean,Glycine max,S7192,Black,Canal,DAP,Hybrid,Excess Rain,Sharecropped,Yes,Not Enrolled,None,2024-08-10,2024-11-15
Groundnut,Arachis hypogaea,G6914,Loamy,River,Urea,F1 Hybrid,Heatwave,Sharecropped,Yes,Not Enrolled,None,2024-08-03,2024-11-02
Cotton,Gossypium hirsutum,C8325,Laterite,River,NPK,Hybrid,Dry Spell,Sharecropped,Yes,Enrolled,None,2024-07-26,2025-01-22
Tur,Cajanus cajan,T7628,Alluvial,Canal,Compost,Local,Dry Spell,Owned,No,Not Enrolled,High,2024-09-18,2024-12-29
Groundnut,Arachis hypogaea,G4825,Black,Rainfed,NPK,Certified,Heatwave,Sharecropped,No,Not Enrolled,None,2025-01-30,2025-06-01
Potato,Solanum tuberosum,P4055,Saline,Rainfed,Vermicompost,F1 Hybrid,Dry Spell,Sharecropped,Yes,Not Enrolled,Medium,2024-10-17,2025-01-23
